Song Title,Artist,Popularity,Energy,Liveness,Tempo,Speechiness,Acousticness,Instrumentalness,Time Signature,Danceability,Key,Duration in ms,Loudness,Valence,Mode
Rockets (feat. Moe Moks),"LION BABE,Moe Moks,",62,0.658,0.155,134.086,0.0699,0.15,0,4,0.677,8,217387,-5.149,0.874,1
Drinkin',"JMSN,",54,0.56,0.301,129.961,0.157,0.0246,0.00423,3,0.635,10,283584,-6.723,0.547,0
Kevin’s Heart,"J. Cole,",79,0.527,0.631,116.078,0.367,0.482,0,4,0.829,6,200310,-6.644,0.473,0
Smoke Break (feat. Future),"Chance the Rapper,Future,",70,0.453,0.143,124.942,0.196,0.257,0,4,0.705,3,226494,-8.174,0.283,1
Wake up Everybody,"John Legend,The Roots,Common,Melanie Fiona,",56,0.467,0.298,94.089,0.0522,0.536,0,4,0.638,3,264867,-7.787,0.657,0
On My Mind (Jorja Smith X Preditah),"Jorja Smith,Preditah,",73,0.662,0.0723,130.037,0.175,0.42,0,4,0.71,10,181510,-5.947,0.755,0
Too Good,"Drake,Rihanna,",41,0.648,0.102,117.983,0.117,0.0573,3.49e-05,4,0.804,7,263373,-7.805,0.392,1
