song_id,song_title,artist,popularity,total_no_streams,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
spotify:track:0LQ1J0BCzA2qnAgp9MkkNE,MALA (feat. Anuel Aa),"['6ix9ine', 'Anuel Aa']",87.00,"68,170,793.00",0.83,0.10,100.01,0.04,0.69,0.00,4.00,0.72,5.00,"206,550.00",-3.63,0.79,0.00
spotify:track:62o8KoI44JfN7aYxgTnPvh,Mala Mía,['Maluma'],84.00,"156,347,542.00",0.75,0.23,180.05,0.35,0.31,0.00,4.00,0.75,6.00,"183,753.00",-4.88,0.90,1.00
spotify:track:2habSXqcJGExM6JJyskY7O,Malibu,['Miley Cyrus'],61.00,"242,335,864.00",0.78,0.08,140.00,0.05,0.06,0.00,4.00,0.57,8.00,"231,906.00",-6.41,0.40,1.00
spotify:track:0NiXXAI876aGImAd6rTj8w,Mama,"['Jonas Blue', 'William Singe']",62.00,"451,206,321.00",0.79,0.05,104.02,0.04,0.09,0.00,4.00,0.74,11.00,"181,615.00",-4.26,0.55,0.00
spotify:track:1oJ8EDr2pv94IvSd6ZmDgo,"MAMA (feat. Nicki Minaj, Kanye West)","['6ix9ine', 'Nicki Minaj', 'Kanye West']",82.00,"42,748,680.00",0.67,0.14,160.08,0.21,0.09,0.00,3.00,0.76,1.00,"192,405.00",-5.89,0.44,1.00
spotify:track:5ArQzSBevAdXTxRY6Ulhbq,Mama Said,['Lukas Graham'],66.00,"86,005,865.00",0.80,0.37,84.00,0.07,0.04,0.00,4.00,0.71,7.00,"206,903.00",-4.56,0.59,0.00
spotify:track:5ojXuKXBYq0apcNucYSDXq,Mamita,['CNCO'],11.00,"7,625,846.00",0.72,0.15,91.04,0.05,0.11,0.00,4.00,0.80,10.00,"174,201.00",-4.84,0.50,1.00
spotify:track:4KTU5aa5s547f1JF5DImhF,Man of the Woods,['Justin Timberlake'],62.00,"5,517,667.00",0.45,0.31,199.78,0.07,0.32,0.00,4.00,0.62,0.00,"243,987.00",-8.21,0.72,1.00
spotify:track:2nUJvBO87SkxCViQsLc9Zr,Man's Not Hot,['Big Shaq'],18.00,"132,292,671.00",0.89,0.11,134.97,0.27,0.11,0.00,4.00,0.90,0.00,"186,027.00",-4.18,0.63,1.00
spotify:track:7lKP7GE00s56ude4dGvULy,Manicomio,['Cosculluela'],60.00,"2,722,904.00",0.75,0.14,180.04,0.24,0.02,0.00,4.00,0.74,8.00,"228,662.00",-3.83,0.84,1.00
spotify:track:71ywEs45ClmTNRiaJ7YEsr,Maps,['Maroon 5'],3.00,"261,184,257.00",0.71,0.06,120.03,0.03,0.02,0.00,4.00,0.74,1.00,"189,973.00",-5.52,0.88,0.00
spotify:track:4UAW2gObi5o6sJla0qZpPn,Mariners Apartment Complex,['Lana Del Rey'],71.00,"4,899,476.00",0.28,0.11,76.01,0.03,0.80,0.00,4.00,0.53,9.00,"246,421.00",-11.49,0.17,1.00
spotify:track:5JcxAgRw2S3hb67AA8Vk13,Mark My Words,['Justin Bieber'],7.00,"51,984,465.00",0.26,0.17,114.19,0.03,0.88,0.00,4.00,0.38,0.00,"134,347.00",-8.57,0.52,1.00
spotify:track:0RYXEibxMami3QuT8kn4Iz,Marmalade (feat. Lil Yachty),"['Macklemore', 'Lil Yachty']",4.00,"23,303,471.00",0.58,0.10,136.04,0.08,0.01,0.00,4.00,0.92,5.00,"261,615.00",-4.98,0.49,1.00
spotify:track:0OWZFobGSIW9GrSlQ9C5pc,Marry Me,['Thomas Rhett'],75.00,"3,959,792.00",0.41,0.13,85.01,0.02,0.11,0.00,4.00,0.59,3.00,"205,453.00",-8.66,0.48,1.00
spotify:track:6ukMqDxnOPOgoHdak7Kyp3,Marvin Gaye (feat. Meghan Trainor),"['Charlie Puth', 'Meghan Trainor']",71.00,"220,663,893.00",0.62,0.35,110.02,0.06,0.42,0.00,4.00,0.80,1.00,"190,453.00",-5.28,0.82,0.00
spotify:track:4z8sz6E4YyFuEkv5o7IJni,"Mary, Did You Know?",['Pentatonix'],66.00,"1,047,023.00",0.31,0.10,105.04,0.03,0.30,0.00,4.00,0.50,11.00,"203,373.00",-9.09,0.18,0.00
spotify:track:2qqZ5fOGuNvYVzgPFDLQ4l,Mary's Boy Child / Oh My Lord,['Boney M.'],57.00,"8,921,071.00",0.72,0.20,112.54,0.04,0.28,0.00,4.00,0.78,0.00,"241,427.00",-8.72,0.93,1.00
spotify:track:3rOSwuTsUlJp0Pu0MkN8r8,Mask Off,['Future'],28.00,"582,487,201.00",0.43,0.17,150.06,0.43,0.01,0.02,4.00,0.83,2.00,"204,600.00",-8.80,0.28,1.00
spotify:track:6DB2KOEwHnjkgEnBt5SdeJ,Mask Off - Remix,"['Future', 'Kendrick Lamar']",68.00,"16,339,123.00",0.43,0.51,150.01,0.40,0.01,0.02,4.00,0.73,2.00,"257,987.00",-12.01,0.22,1.00
spotify:track:7nToEPuB95Y5rsJ3VrH3wQ,Masterpiece,['Jessie J'],5.00,"1,193,150.00",0.74,0.10,143.86,0.04,0.02,0.00,4.00,0.66,0.00,"220,653.00",-2.69,0.57,0.00
