Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
2597.0,Emil Berg - Du swipa höger||../track/7CWF2kMokmWxCLeogZZShp.html,4.0,,171.0,,"1,466,181","3,862,863"
2598.0,Trío Los Josefinos - Criminal||../track/1lXQskY1Op1KzFG4GVcVpe.html,1.0,,177.0,,"3,856,488","3,856,488"
2599.0,MC Loma e As Gêmeas Lacração - Envolvimento||../track/1Wolb8MRcXR2IMMaELTRpE.html,1.0,,197.0,,"3,854,154","3,854,154"
2600.0,Sigma - Changing||../track/10zm24iyuS1T08u7gtW8DZ.html,4.0,,159.0,,"1,017,839","3,852,516"
2601.0,Sigala - Lullaby||../track/5xzCzOAOfRi4DOttSzvznR.html,1.0,,196.0,,"3,843,346","3,843,346"
2602.0,MC Kevinho - Olha a Explosão||../track/6m2LNopVJKsvBB9l7Z1rwn.html,1.0,,169.0,,"3,840,017","3,840,017"
2603.0,A$AP Rocky - Canal St.||../track/0rBMP6VVGRgwnzZCLpijyl.html,3.0,,91.0,,"1,638,950","3,830,077"
2604.0,Years & Years - Sanctify||../track/7gbpozqwdFoqvv19BTk2hu.html,1.0,,193.0,,"3,825,064","3,825,064"
2605.0,Lean Trap - Scooby Doo Papa!||../track/6csZYoffpZ7iuSw83x2zVy.html,1.0,,193.0,,"3,824,938","3,824,938"
2606.0,A$AP Rocky - Cocky||../track/1nO2NjuFkGaAWcMdJ1pNrp.html,1.0,,190.0,,"3,823,251","3,823,251"
2607.0,Zacari - Redemption Interlude||../track/4FpfU1O7WCLBnmwu5XAFk4.html,1.0,,199.0,,"3,821,752","3,821,752"
2608.0,Nick Jonas - Right Now||../track/43wzy7JxMEfvCh8ZFeZKYk.html,1.0,,199.0,,"3,821,018","3,821,018"
2609.0,Samir & Viktor - Bada nakna||../track/68jkh9nqSjpmRtkkA9f0ld.html,2.0,,155.0,,"2,047,286","3,811,783"
2610.0,Rihanna - Same Ol’ Mistakes||../track/3RJ2kQSMtkNm8Q7rETa1u1.html,2.0,,162.0,,"1,984,207","3,808,215"
2611.0,Allyawan - Jag hade en gång en båt||../track/5szr4bzNGqGkLeYgSMMHso.html,3.0,,153.0,,"1,320,388","3,801,554"
