,estimator,min_score,mean_score,max_score,std_score,C,activation,alpha,criterion,decision_function_shape,gamma,kernel,learning_rate,max_depth,n_estimators,n_neighbors,solver
290,Multilayer Perceptron,0.5098039215686274,0.690818250377074,0.8431372549019607,0.0947895316920145,,relu,1,,,,,constant,,,,lbfgs
293,Multilayer Perceptron,0.5098039215686274,0.690818250377074,0.8431372549019607,0.0947895316920145,,relu,1,,,,,invscaling,,,,lbfgs
296,Multilayer Perceptron,0.5098039215686274,0.690818250377074,0.8431372549019607,0.0947895316920145,,relu,1,,,,,adaptive,,,,lbfgs
133,SVM balanced weights,0.5333333333333332,0.6892722473604825,0.8274509803921568,0.10196133967346771,1,,,,ovr,scale,rbf,,,,,
125,SVM balanced weights,0.5333333333333332,0.6892722473604825,0.8274509803921568,0.10196133967346771,1,,,,ovo,scale,rbf,,,,,
129,SVM balanced weights,0.5372549019607843,0.6888800904977375,0.823529411764706,0.10032245195801615,1,,,,ovr,auto,rbf,,,,,
121,SVM balanced weights,0.5372549019607843,0.6888800904977375,0.823529411764706,0.10032245195801615,1,,,,ovo,auto,rbf,,,,,
305,Multilayer Perceptron,0.5058823529411764,0.6744984917043741,0.815686274509804,0.08681880027218634,,relu,0.001,,,,,adaptive,,,,lbfgs
299,Multilayer Perceptron,0.5058823529411764,0.6744984917043741,0.815686274509804,0.08681880027218634,,relu,0.001,,,,,constant,,,,lbfgs
302,Multilayer Perceptron,0.5058823529411764,0.6744984917043741,0.815686274509804,0.08681880027218634,,relu,0.001,,,,,invscaling,,,,lbfgs
283,Multilayer Perceptron,0.48235294117647065,0.6727978883861236,0.792156862745098,0.09964245323984626,,relu,0.0001,,,,,constant,,,,adam
286,Multilayer Perceptron,0.48235294117647065,0.6727978883861236,0.792156862745098,0.09964245323984626,,relu,0.0001,,,,,invscaling,,,,adam
289,Multilayer Perceptron,0.48235294117647065,0.6727978883861236,0.792156862745098,0.09964245323984626,,relu,0.0001,,,,,adaptive,,,,adam
277,Multilayer Perceptron,0.48235294117647065,0.6727262443438914,0.792156862745098,0.09992692454360663,,relu,1e-05,,,,,invscaling,,,,adam
280,Multilayer Perceptron,0.48235294117647065,0.6727262443438914,0.792156862745098,0.09992692454360663,,relu,1e-05,,,,,adaptive,,,,adam
274,Multilayer Perceptron,0.48235294117647065,0.6727262443438914,0.792156862745098,0.09992692454360663,,relu,1e-05,,,,,constant,,,,adam
301,Multilayer Perceptron,0.48235294117647065,0.6723340874811463,0.792156862745098,0.09977283227678775,,relu,0.001,,,,,constant,,,,adam
304,Multilayer Perceptron,0.48235294117647065,0.6723340874811463,0.792156862745098,0.09977283227678775,,relu,0.001,,,,,invscaling,,,,adam
307,Multilayer Perceptron,0.48235294117647065,0.6723340874811463,0.792156862745098,0.09977283227678775,,relu,0.001,,,,,adaptive,,,,adam
310,Multilayer Perceptron,0.48235294117647065,0.6720135746606335,0.792156862745098,0.09928558427062523,,relu,0.01,,,,,constant,,,,adam
316,Multilayer Perceptron,0.48235294117647065,0.6720135746606335,0.792156862745098,0.09928558427062523,,relu,0.01,,,,,adaptive,,,,adam
313,Multilayer Perceptron,0.48235294117647065,0.6720135746606335,0.792156862745098,0.09928558427062523,,relu,0.01,,,,,invscaling,,,,adam
308,Multilayer Perceptron,0.5176470588235293,0.6671907993966817,0.7843137254901961,0.0808556060681221,,relu,0.01,,,,,constant,,,,lbfgs
314,Multilayer Perceptron,0.5176470588235293,0.6671907993966817,0.7843137254901961,0.0808556060681221,,relu,0.01,,,,,adaptive,,,,lbfgs
311,Multilayer Perceptron,0.5176470588235293,0.6671907993966817,0.7843137254901961,0.0808556060681221,,relu,0.01,,,,,invscaling,,,,lbfgs
281,Multilayer Perceptron,0.4980392156862745,0.666447963800905,0.7960784313725491,0.08492370891330857,,relu,0.0001,,,,,constant,,,,lbfgs
284,Multilayer Perceptron,0.4980392156862745,0.666447963800905,0.7960784313725491,0.08492370891330857,,relu,0.0001,,,,,invscaling,,,,lbfgs
287,Multilayer Perceptron,0.4980392156862745,0.666447963800905,0.7960784313725491,0.08492370891330857,,relu,0.0001,,,,,adaptive,,,,lbfgs
272,Multilayer Perceptron,0.4980392156862745,0.664524886877828,0.7960784313725491,0.08481919059742939,,relu,1e-05,,,,,constant,,,,lbfgs
275,Multilayer Perceptron,0.4980392156862745,0.664524886877828,0.7960784313725491,0.08481919059742939,,relu,1e-05,,,,,invscaling,,,,lbfgs
278,Multilayer Perceptron,0.4980392156862745,0.664524886877828,0.7960784313725491,0.08481919059742939,,relu,1e-05,,,,,adaptive,,,,lbfgs
109,SVM balanced weights,0.44705882352941184,0.6580844645550529,0.8666666666666667,0.10444769452506183,0.1,,,,ovo,scale,rbf,,,,,
117,SVM balanced weights,0.44705882352941184,0.6580844645550529,0.8666666666666667,0.10444769452506183,0.1,,,,ovr,scale,rbf,,,,,
105,SVM balanced weights,0.45098039215686275,0.6576923076923078,0.8666666666666667,0.10353467742614963,0.1,,,,ovo,auto,rbf,,,,,
113,SVM balanced weights,0.45098039215686275,0.6576923076923078,0.8666666666666667,0.10353467742614963,0.1,,,,ovr,auto,rbf,,,,,
292,Multilayer Perceptron,0.4509803921568627,0.6533031674208145,0.7803921568627451,0.09715908775714037,,relu,1,,,,,constant,,,,adam
295,Multilayer Perceptron,0.4509803921568627,0.6533031674208145,0.7803921568627451,0.09715908775714037,,relu,1,,,,,invscaling,,,,adam
298,Multilayer Perceptron,0.4509803921568627,0.6533031674208145,0.7803921568627451,0.09715908775714037,,relu,1,,,,,adaptive,,,,adam
